name,division,class_name,order_name,family,sub_family,tribe,genus,authority
ilicifolius,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Acanthus,a5569
mollis,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Acanthus,a7355
duvernoia,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Adhatoda,a3695
paniculata,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Andrographis,a8442
gangetica,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Asystasia,a4638
marina,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Avicennia,a6979
guttata,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Beloperone,a5131
acaulis,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Brunoniella,a27
australis,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Brunoniella,a1092
armata,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Dicliptera,a802
depressa,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Dyschoriste,a3341
excelsum,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Graptophyllum,a4076
costata,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Hygrophila,a2807
floribunda,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Hypoestes,a4388
betonica,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Justicia,a1388
caudata,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Justicia,a2169
hygrophioides,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Justicia,a5522
campestris,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Nelsonia,a1934
tubaeforme,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Odontonema,a12004
variabile,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Pseuderanthemum,a12198
cavernarum,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Rhaphidospora,a2185
adscendens,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Rostellularia,a181
obtusa,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Rostellularia,a8032
humilis,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Ruellia,a5472
squarrosa,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Ruellia,a11057
strepens,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Ruellia,a11183
longifolium,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Stephanophysum,a6652
anisophylla,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Strobilanthes,a587
alata,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Thunbergia,a254
parvifolia,Div1,Cls1,Acanthaceaeord,Acanthaceae,,,Xerothamnella,a8570
kurrangii,Div1,Cls1,Achariaceaeord,Achariaceae,,,Ryparosa,a5993
chinensis,Div1,Cls1,Actinidiaceaeord,Actinidiaceae,,,Actinidia,a2291
andreana,Div1,Cls1,Actinidiaceaeord,Actinidiaceae,,,Saurauia,a505
rubicunda,Div1,Cls1,Actinidiaceaeord,Actinidiaceae,,,Saurauia,a10140
curvata,Div1,Cls1,Adelanthaceaeord,Adelanthaceae,,,Jackiella,a3045
aethiopicum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a214
atroviride,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a959
capillus-veneris,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a2054
cunninghamii,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a2975
diaphanum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a3371
formosum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a4482
hispidulum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a5389
pedatum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a8676
silvaticum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiantum,a10762
aethiopicum,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Adiatum,a215
austrotenuifolia,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a1178
brownii,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a1719
caudata,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a2170
distans,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a3531
lasiophylla,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a6180
nudiuscula,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a7934
sieberi,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a10737
tenuifolia,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a11551
tomentosa,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Cheilanthes,a11767
concolor,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Doryopteris,a2604
atropurpurea,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a952
calidirupium,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a1866
falcata,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a4119
mucronata,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a7497
nana,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a7667
paradoxa,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a8494
rotundifolia,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a10107
viridis,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a12458
viridus,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pellaea,a12465
calomelanos,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pityrogramma,a1876
rutifolius,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pleurosorus,a10254
umbrosa,Div1,Cls1,Adiantaceaeord,Adiantaceae,,,Pteris,a12082
australasica,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Sambucus,a1017
canadensis,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Sambucus,a1960
gaudichaudiana,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Sambucus,a4646
javanica,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Sambucus,a5858
nigra,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Sambucus,a7775
pubens,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Sambucus,a9383
affine,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a217
erosum,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a3970
lantana,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a6142
odoratissimum,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a8126
opulus,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a8220
rhytidophyllum,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a9964
suspensum,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a11433
tinus,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a11759
tomentosum,Div1,Cls1,Adoxaceaeord,Adoxaceae,,,Viburnum,a11786
aequilaterus,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Carpobrotus,a207
glaucescens,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Carpobrotus,a4824
crassifolium,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Disphyma,a2850
pubescens,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Galenia,a9393
secunda,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Galenia,a10521
papillata,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Gunniopsis,a8476
quadrifida,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Gunniopsis,a9616
crocea,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Malephora,a2920
